Country,Year,Nuclear,Solar,Wind,Hydroelectricity,"Generation-Geothermal, Biomass and Other",Oil,Coal,Gas
Mexico,1990,0.024680851063829785,0.0,0.0,0.20851063829787234,0.04340425531914893,0.5446808510638298,0.06638297872340425,0.11234042553191488
Mexico,1991,0.03271028037383177,0.0,0.0,0.17601246105919002,0.045171339563862926,0.5272585669781932,0.07165109034267912,0.14719626168224298
Mexico,1992,0.02950075642965204,0.0,0.0,0.20272314674735248,0.04841149773071104,0.5052950075642965,0.0718608169440242,0.14220877458396367
Mexico,1993,0.03637713437268004,0.0,0.0,0.19821826280623608,0.04825538233110616,0.4892353377876764,0.08611729769858946,0.14179658500371198
Mexico,1994,0.028747433264887066,0.0,0.0,0.13894592744695416,0.04243668720054757,0.5455167693360712,0.09787816563997263,0.1464750171115674
Mexico,1995,0.05588822355289421,0.0,0.0,0.18363273453093812,0.04258150365934797,0.4657351962741184,0.10312707917498336,0.14903526280771787
Mexico,1996,0.0504469987228608,0.0,0.0,0.19987228607918264,0.03959131545338442,0.45657726692209455,0.11813537675606642,0.13537675606641125
Mexico,1997,0.0629496402877698,0.0,0.0,0.15827338129496404,0.0353717026378897,0.4946043165467626,0.11031175059952039,0.13848920863309355
Mexico,1998,0.051381215469613266,0.0,0.0,0.13591160220994475,0.03370165745856354,0.5099447513812154,0.10331491712707182,0.16574585635359115
Mexico,1999,0.05263157894736842,0.0,0.0,0.17210526315789476,0.032105263157894734,0.47210526315789475,0.09789473684210527,0.1731578947368421
Mexico,2000,0.040255277368679426,0.0,0.0,0.16249386352479137,0.03141875306823761,0.4742268041237113,0.09376534118802161,0.19783996072655866
Mexico,2001,0.04140885292717753,0.0,0.0,0.13517372679676345,0.02950975725844836,0.4412184673964779,0.11042360780580676,0.24226558781532603
Mexico,2002,0.0449698655540102,0.0,0.0,0.11543810848400557,0.028280018544274456,0.3676402410755679,0.12100139082058416,0.3226703755215577
Mexico,2003,0.04781420765027323,0.0,0.0,0.09061930783242259,0.031420765027322405,0.3224043715846994,0.1407103825136612,0.3670309653916211
Mexico,2004,0.03968938740293356,0.0,0.0,0.1087144089732528,0.03149266609145815,0.318809318377912,0.10267471958584987,0.3986194995685936
Mexico,2005,0.04526404023470243,0.0,0.0,0.11609388097233862,0.033948030176026815,0.3046940486169321,0.13746856663872586,0.3625314333612741
Mexico,2006,0.043530351437699684,0.0,0.0,0.12140575079872205,0.029952076677316298,0.2148562300319489,0.1265974440894569,0.46365814696485624
Mexico,2007,0.040310077519379844,0.0,0.0007751937984496124,0.1058139534883721,0.03178294573643411,0.1996124031007752,0.12248062015503877,0.4992248062015504
Mexico,2008,0.03730491054434716,0.0,0.001141987057480015,0.14921964217738864,0.03007232584697373,0.20137038446897598,0.08108108108108107,0.4998096688237533
Mexico,2009,0.04012227741688957,0.0,0.0022927015666794038,0.10202521971723348,0.02865876958349255,0.1864730607565915,0.1123423767672908,0.5280855941918227
Mexico,2010,0.02171512697828487,0.0,0.0044166359955833635,0.13691571586308426,0.027235921972764074,0.16120721383879275,0.1192491718807508,0.5292602134707397
Mexico,2011,0.03486365205384881,0.0,0.005522954780807733,0.12530203658957542,0.025543665861235763,0.16845012081463584,0.11667241974456334,0.5236451501553331
Mexico,2012,0.029850746268656723,0.00033921302578019004,0.01255088195386703,0.1082089552238806,0.02306648575305292,0.18894165535956584,0.116010854816825,0.5210312075983718
Mexico,2013,0.039824502193722584,0.00033749578130273377,0.014174822814714818,0.09449881876476546,0.024637192035099564,0.16098548768140403,0.10698616267296661,0.5585555180560244
Mexico,2014,0.032055518836748176,0.0006609385327164573,0.021150033046926635,0.12855254461335094,0.023463317911434235,0.10740251156642432,0.11169861202908128,0.5750165234633179
Mexico,2015,0.03741935483870967,0.0006451612903225806,0.028064516129032255,0.0996774193548387,0.023870967741935485,0.10064516129032258,0.10903225806451612,0.6006451612903225
Mexico,2016,0.03317683881064162,0.0009389671361502347,0.032550860719874807,0.09608763693270736,0.022848200312989043,0.10485133020344288,0.10766823161189358,0.6018779342723005
Mexico,2017,0.033476658476658476,0.003685503685503685,0.032555282555282554,0.09766584766584765,0.023648648648648646,0.11947174447174445,0.09490171990171989,0.5945945945945945
Mexico,2018,0.04137511408579251,0.009735320961362945,0.03985397018557955,0.0988743535138424,0.021296014602981438,0.10860967447520535,0.08822634621235168,0.592029205962884
Mexico,2019,0.03299270072992701,0.036204379562043795,0.05138686131386862,0.06948905109489051,0.022773722627737226,0.11007299270072994,0.07678832116788321,0.6002919708029197
US,1965,0.01758445164275798,0.0,0.0,0.920869967607589,0.06154558074965293,0.0,0.0,0.0
US,1966,0.026387625113739762,0.0,0.0,0.9094631483166514,0.06414922656960872,0.0,0.0,0.0
US,1967,0.03247794707297514,0.0,0.0,0.9109863672814755,0.056535685645549325,0.0,0.0,0.0
US,1968,0.051381860646165824,0.0,0.0,0.888283378746594,0.060334760607240176,0.0,0.0,0.0
US,1969,0.0512373649355176,0.0,0.0,0.8922969675845243,0.056465667479958175,0.0,0.0,0.0
US,1970,0.07857874957294159,0.0,0.0,0.8660744789887257,0.05534677143833276,0.0,0.0,0.0
US,1971,0.12188449848024314,0.0,0.0,0.827659574468085,0.05045592705167173,0.0,0.0,0.0
US,1972,0.16059836296923513,0.0,0.0,0.7866215071972905,0.05278012983347446,0.0,0.0,0.0
US,1973,0.22766122766122765,0.0,0.0,0.7205387205387205,0.051800051800051795,0.0,0.0,0.0
US,1974,0.2680366316729953,0.0,0.0,0.6863971409425955,0.0455662273844092,0.0,0.0,0.0
US,1975,0.35776201733648544,0.0,0.0,0.6032308904649331,0.03900709219858156,0.0,0.0,0.0
US,1976,0.3917445482866043,0.0,0.0,0.5642523364485982,0.044003115264797506,0.0,0.0,0.0
US,1977,0.5143135345666991,0.0,0.0,0.4399221032132425,0.045764362220058426,0.0,0.0,0.0
US,1978,0.4833887043189369,0.0,0.0,0.47558139534883725,0.041029900332225915,0.0,0.0,0.0
US,1979,0.4628640358435293,0.0,0.0,0.4926762019645011,0.044459762191969676,0.0,0.0,0.0
US,1980,0.4612565445026178,0.0,0.0,0.49214659685863876,0.04659685863874345,0.0,0.0,0.0
US,1981,0.49406093992081257,0.0,0.0,0.45877087278361167,0.04716818729557583,0.0,0.0,0.0
US,1982,0.46544715447154467,0.0,0.0,0.49327704815509693,0.04127579737335835,0.0,0.0,0.0
US,1983,0.4561688311688313,0.0,0.0,0.4998524203069658,0.043978748524203075,0.0,0.0,0.0
US,1984,0.4870780963140799,0.0,0.0,0.46264651885326935,0.05027538483265075,0.0,0.0,0.0
US,1985,0.15202499247214693,0.0,0.0,0.10809996988858776,0.013700692562481178,0.040537488708220416,0.5674872026498042,0.11814965371875939
US,1986,0.16287326680868558,0.0,0.0,0.11099899091826439,0.014463504877228391,0.05490152109728296,0.5569009978697164,0.09986171842882237
US,1987,0.17288404646799915,0.0,0.0,0.09214229020852877,0.015405151886860527,0.045962912187026486,0.5678620391081608,0.10574356014142436
US,1988,0.19035689773507208,0.0,0.0,0.0783802333562114,0.01455044612216884,0.05494166094715168,0.568496911461908,0.09327385037748799
US,1989,0.1768608157435328,9.5222980479289e-05,0.0006665608633550231,0.08719250912553562,0.015521345818124107,0.056086335502301216,0.5432153626408507,0.1203618473258213
US,1990,0.188442678915027,0.0001241387871640494,0.0008689715101483457,0.0907144187201291,0.0178449506548321,0.04220718763577679,0.5354105890385451,0.1243870647383775
US,1991,0.19792498004788506,0.00015347780710909202,0.0009208668426545521,0.08818834796488427,0.01860151022162195,0.03953588311130211,0.528731045490822,0.1259438885137209
US,1992,0.1991438617948326,0.00012230545788105795,0.0008867145696376701,0.07686898027824492,0.019813484176731386,0.03293074453447485,0.5373796055648984,0.1328543036232992
US,1993,0.18945381620856433,0.00014745782706146042,0.0008847469623687625,0.08236994219653179,0.019729857260823404,0.0357732688451103,0.5400495458298926,0.13159136486964726
US,1994,0.19568057127928243,0.00014514209411013382,0.0010159946587709368,0.0752706900055154,0.01927487009782577,0.033063369038288486,0.5318877180759963,0.14366164475021045
US,1995,0.1994597028365601,0.00014070238631247188,0.00090049527239982,0.08757316524088249,0.017812922107158936,0.02256866276452049,0.5214430436740207,0.15010130571814498
US,1996,0.1946339992874565,0.00013702759735810793,0.0009043821425635122,0.095234180163885,0.017758776617610786,0.023979829537668886,0.5332565978788127,0.13409520677464443
US,1997,0.17881367382786112,0.00013511687609782462,0.0008917713822456424,0.09620321578165113,0.01778138089447372,0.0268882583434671,0.5399810836373463,0.13930549925685717
US,1998,0.18472598458012088,0.00013023546572202543,0.0008074598874765577,0.08389768701812879,0.017086893102729733,0.036075224005001044,0.5284955198999792,0.14878099604084186
US,1999,0.19567103986931442,0.00012762264536219305,0.0011486038082597376,0.08081065904334066,0.016973811833171676,0.0323906273929246,0.5201643779672265,0.1527132574404002
US,2000,0.19671318444339786,0.00012393723818258432,0.0013880970676449444,0.06762015715241801,0.016508440125920232,0.029645787373274172,0.5277991225243537,0.1602012740748085
US,2001,0.20374099994965006,0.0001510497960827753,0.0017118976889381199,0.05291777856099894,0.01681687729721565,0.033809979356527874,0.5178490509037813,0.1730023664468053
US,2002,0.20037092169159815,0.0001464164572097904,0.002562288001171332,0.06300788208594646,0.01752116937943825,0.02481758949705947,0.5102613533761196,0.1813123795114571
US,2003,0.19496046951544843,0.000145510986079449,0.00274045690449629,0.06547994373575206,0.01729155551244119,0.031139351021002088,0.518770917204249,0.1694717951205316
US,2004,0.19682705304844794,0.00016599871943845005,0.0033911166970997655,0.0622732338921957,0.017050439896606515,0.030899475918328635,0.5083355071260879,0.18105717470179516
US,2005,0.1910054997331353,0.0001624393753045738,0.004177012507831898,0.06181978511591209,0.016847283781588656,0.03049219130717286,0.5056273640730513,0.1898684241060033
US,2006,0.19193977996525768,0.00018529241459177767,0.006230457440648523,0.06612623045744065,0.016931094383323683,0.01598147075854082,0.49927041111754483,0.203335263462652
US,2007,0.19209359160028966,0.000248913830557567,0.007874728457639391,0.05498732802317162,0.016722483707458366,0.015998370745836352,0.49391292541636495,0.21816165821868214
US,2008,0.19384165562611358,0.0003654803782721915,0.01276897071588469,0.057357576865092054,0.01681209740052081,0.01135273425007995,0.4906345653067751,0.21686691945726164
US,2009,0.20050071530758226,0.0005007153075822604,0.017787315212207916,0.06473533619456366,0.017453505007153078,0.009990462565569862,0.45290891750119217,0.23612303290414877
US,2010,0.19389152666179693,0.0006848064280496713,0.021822498173849524,0.05873356464572681,0.01714298758217677,0.009107925493060628,0.45619521548575603,0.24242147552958362
US,2011,0.19127995216851398,0.0010808076162443084,0.027917030768523202,0.07269006116911189,0.017430897300280548,0.00747366968679575,0.43147219794876507,0.2506553833417651
US,2012,0.18850531902511697,0.002095020833818292,0.03310132917432901,0.06378174538513467,0.01792406713377872,0.005796224306897274,0.38194557601433926,0.3068507181265859
US,2013,0.192432457481811,0.003707308030956022,0.03927429445294036,0.06174984939061124,0.018698734881134438,0.00676583715649474,0.3971222021409704,0.2802493164650818
US,2014,0.19292759754443242,0.0067137240475478805,0.04219069735359713,0.05881406203297082,0.019336444945163588,0.0074724668337433605,0.39401742809187684,0.27852757915066795
US,2015,0.19361314289669815,0.009091118853688364,0.04444034241676089,0.05687717759985233,0.01931285908765777,0.0070144673388864535,0.3387941576870717,0.33085673411938443
US,2016,0.19570334133284104,0.012783828687465386,0.05291212848440096,0.060873177035259365,0.019083441019014213,0.005999630791951264,0.3106424220047997,0.342002030644268
US,2017,0.1975564830142927,0.0182097973839446,0.05989880855230945,0.0692018932593439,0.01930564946722936,0.005362680407563712,0.3054396232134114,0.32502506470190495
US,2018,0.19118772221972186,0.02122057698366263,0.061973986228003056,0.06514694630721454,0.018430172374994374,0.006098384265718529,0.28054817948602545,0.3553940321346595
US,2019,0.19419246022701372,0.02470711583169987,0.06908419565118294,0.061813374663810004,0.017846560605369925,0.004558508456033186,0.24011943292154808,0.38767835164334236
Argentina,1965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1969,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1970,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1971,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1972,0.0,0.0,0.0,0.9375,0.0625,0.0,0.0,0.0
Argentina,1973,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,1974,0.1639344262295082,0.0,0.0,0.819672131147541,0.01639344262295082,0.0,0.0,0.0
Argentina,1975,0.32051282051282054,0.0,0.0,0.6666666666666667,0.012820512820512822,0.0,0.0,0.0
Argentina,1976,0.3376623376623377,0.0,0.0,0.6493506493506495,0.01298701298701299,0.0,0.0,0.0
Argentina,1977,0.21333333333333335,0.0,0.0,0.7733333333333333,0.013333333333333334,0.0,0.0,0.0
Argentina,1978,0.26851851851851855,0.0,0.0,0.7222222222222223,0.00925925925925926,0.0,0.0,0.0
Argentina,1979,0.20000000000000004,0.0,0.0,0.7925925925925926,0.0074074074074074086,0.0,0.0,0.0
Argentina,1980,0.13142857142857142,0.0,0.0,0.8628571428571429,0.005714285714285714,0.0,0.0,0.0
Argentina,1981,0.15909090909090906,0.0,0.0,0.8352272727272726,0.005681818181818182,0.0,0.0,0.0
Argentina,1982,0.09693877551020406,0.0,0.0,0.8979591836734694,0.00510204081632653,0.0,0.0,0.0
Argentina,1983,0.15525114155251143,0.0,0.0,0.8401826484018264,0.004566210045662101,0.0,0.0,0.0
Argentina,1984,0.18699186991869915,0.0,0.0,0.8089430894308942,0.004065040650406504,0.0,0.0,0.0
Argentina,1985,0.1280353200883002,0.0,0.0,0.45474613686534215,0.002207505518763797,0.12582781456953643,0.01324503311258278,0.2759381898454746
Argentina,1986,0.1163265306122449,0.0,0.0,0.42857142857142855,0.0020408163265306124,0.16122448979591839,0.02040816326530612,0.27142857142857146
Argentina,1987,0.12476007677543186,0.0,0.0,0.418426103646833,0.0019193857965451057,0.19385796545105566,0.019193857965451054,0.2418426103646833
Argentina,1988,0.11218568665377175,0.0,0.0,0.2901353965183752,0.0019342359767891683,0.16634429400386846,0.030947775628626693,0.3984526112185687
Argentina,1989,0.09900990099009901,0.0,0.0,0.25742574257425743,0.0019801980198019802,0.1425742574257426,0.017821782178217824,0.4811881188118812
Argentina,1990,0.14398422090729782,0.0,0.0,0.35305719921104534,0.0019723865877712033,0.09664694280078896,0.01380670611439842,0.3905325443786982
Argentina,1991,0.1455223880597015,0.0,0.0,0.30223880597014924,0.0018656716417910447,0.1417910447761194,0.016791044776119403,0.39179104477611937
Argentina,1992,0.12701252236135957,0.0,0.0,0.3542039355992845,0.001788908765652952,0.1377459749552773,0.014311270125223615,0.36493738819320215
Argentina,1993,0.12641815235008103,0.0,0.0,0.3824959481361426,0.0016207455429497568,0.1085899513776337,0.01944894651539708,0.36142625607779577
Argentina,1994,0.1255742725880551,0.0,0.0,0.4287901990811638,0.0015313935681470136,0.07044410413476261,0.035222052067381306,0.33843797856049
Argentina,1995,0.10581222056631893,0.0,0.0,0.42473919523099857,0.001490312965722802,0.06855439642324888,0.028315946348733235,0.3710879284649777
Argentina,1996,0.10760401721664277,0.0,0.0,0.37159253945480636,0.005738880918220948,0.0659971305595409,0.0272596843615495,0.42180774748923966
Argentina,1997,0.110803324099723,0.0,0.0,0.4570637119113574,0.0055401662049861505,0.02770083102493075,0.026315789473684213,0.3725761772853186
Argentina,1998,0.10135135135135136,0.0,0.0,0.4378378378378378,0.006756756756756757,0.05135135135135135,0.024324324324324326,0.3783783783783784
Argentina,1999,0.08830845771144277,0.0,0.0,0.3296019900497512,0.00870646766169154,0.047263681592039794,0.026119402985074626,0.5
Argentina,2000,0.06974128233970753,0.0,0.0,0.3824521934758155,0.007874015748031494,0.032620922384701906,0.020247469066366704,0.48706411698537677
Argentina,2001,0.07880133185349612,0.0,0.0,0.4650388457269701,0.006659267480577137,0.011098779134295229,0.01553829078801332,0.4228634850166482
Argentina,2002,0.06847697756788666,0.0,0.001180637544273908,0.48996458087367184,0.010625737898465173,0.009445100354191265,0.009445100354191265,0.41086186540731995
Argentina,2003,0.08260869565217391,0.0,0.0010869565217391304,0.425,0.010869565217391304,0.010869565217391304,0.009782608695652175,0.45978260869565213
Argentina,2004,0.07884231536926148,0.0,0.0009980039920159682,0.35329341317365265,0.008982035928143712,0.03992015968063872,0.016966067864271458,0.500998003992016
Argentina,2005,0.06534090909090909,0.0,0.000946969696969697,0.37310606060606055,0.010416666666666666,0.05397727272727273,0.020833333333333332,0.47537878787878785
Argentina,2006,0.06802120141342756,0.0,0.0008833922261484099,0.38515901060070673,0.014134275618374558,0.0706713780918728,0.0176678445229682,0.44346289752650175
Argentina,2007,0.06448763250883392,0.0,0.0008833922261484099,0.33303886925795056,0.014134275618374558,0.09717314487632508,0.020318021201413426,0.46996466431095407
Argentina,2008,0.060905349794238686,0.0,0.0,0.30617283950617286,0.013991769547325103,0.11851851851851852,0.015637860082304528,0.48477366255144033
Argentina,2009,0.06726825266611976,0.0,0.0,0.33470057424118127,0.013945857260049219,0.1173092698933552,0.014766201804757998,0.4520098441345365
Argentina,2010,0.057324840764331204,0.0,0.0,0.322452229299363,0.01592356687898089,0.13296178343949044,0.023885350318471336,0.44745222929936307
Argentina,2011,0.04957397366382649,0.0,0.0,0.30673896204492634,0.017041053446940353,0.14717273431448488,0.022463206816421374,0.45701006971340036
